desc,oneHandedWeaponDice,twoHandedWeaponDice,penetration,range,damageTypes,engageableOpponents,dualWieldableBonus,areaOfEffect,resourceClass,governingAttributes
Hand Crossbow,+1d6,+1d6,0,Medium,,Standard,+1d6,None,Bolt,"{STR,RFX,INT}"
Light Crossbow,None,+1d6,0,Extended,,Loading,None,None,Bolt,"{STR,RFX,INT}"
Heavy Crossbow,None,+2d6,0,Long,,Complex Loading,None,None,Bolt,"{STR,RFX,INT}"
Light Bow,None,+1d6,0,Extended,,Quick,None,None,Arrow,"{STR,RFX,INT}"
Heavy Bow,None,+2d6,0,Sharpshooter,,Standard,None,None,Arrow,"{STR,RFX,INT}"
Blowgun,+0d6,+1d6,0,Medium,,Slow,None,None,Blowgun Dart,"{STR,RFX,INT}"
Sling,+1d6,+1d6,1,Medium,,Slow,None,None,Sling Bullet,"{STR,RFX,INT}"
Thrown Small Bladed,+0d6,+0d6,1,Short,"Slash, Pierce",Quick,None,None,None,"{STR,RFX,INT}"
Thrown Short Spear,+2d6,+2d6,3,Short,Pierce,Standard,None,None,None,"{STR,RFX,INT}"
Unarmed,-1,-1,0,Melee,Bludgeon,Rapid,None,None,None,"{STR,RFX,INT}"
Hand Protection Unarmed,+0d6,+0d6,0,Melee,Bludgeon,Rapid,None,None,None,"{STR,RFX,INT}"
Disarming Unarmed,+3d6,+3d6,0,Melee,Bludgeon,Rapid,None,None,None,"{STR,RFX,INT}"
Disarming Hand Protection Unarmed,+4d6,+4d6,0,Melee,Bludgeon,Rapid,None,None,None,"{STR,RFX,INT}"
Small Hafted Axe,+1d6,+1d6,0,Melee,Hew,Rapid,+1d6,None,None,"{STR,RFX,INT}"
Small Hafted Blade,+1d6,+1d6,0,Melee,Slash,Rapid,+1d6,None,None,"{STR,RFX,INT}"
Small Hafted Point,+1d6,+1d6,0,Melee,Pierce,Rapid,+1d6,None,None,"{STR,RFX,INT}"
Small Hafted Blunt,+0d6,+0d6,2,Melee,Bludgeon,Rapid,+1d6,None,None,"{STR,RFX,INT}"
Small Bladed,+0d6,+0d6,2,Melee,"Slash, Pierce",Rapid,+1d6,None,None,"{STR,RFX,INT}"
Med. Hafted Axe,+2d6,+3d6,0,Melee,Hew,Rapid,+1d6,None,None,"{STR,RFX,INT}"
Med. Hafted Blade,+2d6,+3d6,0,Melee,Slash,Rapid,+1d6,None,None,"{STR,RFX,INT}"
Med. Hafted Point,+2d6,+3d6,0,Melee,Pierce,Rapid,+1d6,None,None,"{STR,RFX,INT}"
Med. Hafted Blunt,+0d6,+1d6,4,Melee,Bludgeon,Rapid,+1d6,None,None,"{STR,RFX,INT}"
Med. Sword,+1d6,+2d6,2,Melee,"Slash, Pierce",Rapid,+1d6,None,None,"{STR,RFX,INT}"
Large Hafted Blade,+0d6,+3d6,2,Melee,Hew,Rapid,None,None,None,"{STR,RFX,INT}"
Large Hafted Axe,+0d6,+3d6,2,Melee,Slash,Rapid,None,None,None,"{STR,RFX,INT}"
Large Hafted Point,+0d6,+3d6,2,Melee,Pierce,Rapid,None,None,None,"{STR,RFX,INT}"
Large Hafted Blunt,-1,+1d6,5,Melee,Bludgeon,Rapid,None,None,None,"{STR,RFX,INT}"
Large Sword,+2d6,+0d6,3,Melee,"Slash, Pierce",Rapid,None,None,None,"{STR,RFX,INT}"
Short Spear,+1d6,+1d6,3,Melee,Pierce,Spear Rapid,+1d6,None,None,"{STR,RFX,INT}"
Reach Hafted Axe,-1,+4d6,3,Reach,Hew,Rapid,None,None,None,"{STR,RFX,INT}"
Reach Hafted Blade,-1,+4d6,3,Reach,Slash,Rapid,None,None,None,"{STR,RFX,INT}"
Reach Hafted Point,-1,+4d6,3,Reach,Pierce,Rapid,None,None,None,"{STR,RFX,INT}"
Reach Hafted Blunt,-1,+2d6,5,Reach,Bludgeon,Rapid,None,None,None,"{STR,RFX,INT}"
Greatsword,-1,+3d6,4,Reach,"Slash, Pierce",Rapid,None,None,None,"{STR,RFX,INT}"
Longspear,-1,+4d6,4,Reach,Pierce,Spear Rapid,None,None,None,"{STR,RFX,INT}"
Whip,+0d6,+0d6,0,Reach,Slash,Rapid,+1d6,None,None,"{STR,RFX,INT}"
Man Catcher,-1,+1d6,2,Reach,Bludgeon,Spear Rapid,None,None,None,"{STR,RFX,INT}"
Torch,+0d6,+0d6,2,Melee,"Fire, Bludgeon",Rapid,+1d6,None,None,"{STR,RFX,INT}"
Improvised Small Bladed,+0d6,+0d6,0,Melee,"Slash, Pierce",Rapid,+1d6,None,None,"{STR,RFX,INT}"
,,,,,,,,,,
Claws (Large),+1d6,+1d6,2,Melee,"Slash, Bludgeon",Rapid,+1d6,None,None,"{STR,RFX,INT}"
Claws,+1d6,+1d6,0,Melee,Slash,Rapid,+1d6,None,None,"{STR,RFX,INT}"
Bite (Large),+1d6,+1d6,3,Melee,"Pierce, Bludgeon",Rapid,None,None,None,"{STR,RFX,INT}"
Bite,+1d6,+1d6,2,Melee,"Pierce, Bludgeon",Rapid,None,None,None,"{STR,RFX,INT}"
Stomp (Large),+1d6,+1d6,5,Melee,Bludgeon,Rapid,None,None,None,"{STR,RFX,INT}"
Stomp (Medium),+1d6,+1d6,4,Melee,Bludgeon,Rapid,None,None,None,"{STR,RFX,INT}"
Horns (Medium),+1d6,+1d6,0,Melee,Pierce,Rapid,None,None,None,"{STR,RFX,INT}"
